L(l),2,K,4,T,6,No arbitrage?,Arbitrage!

Period,Day Ahead Price
0,1.76873
1,16.6719
2,15.2448
3,12.9367
4,11.7996
5,12.3883

Scenario ID,Period,Real Time Price,Renewable Generation Output
0,0,1.91203,11.8081
0,1,25.4565,1.51988
0,2,4.18888,116.961
0,3,1.20675,49.5213
0,4,12.5881,56.6001
0,5,19.2129,115.645
1,0,1.91203,11.8081
1,1,25.4565,1.51988
1,2,4.18888,116.961
1,3,1.20675,49.5213
1,4,12.5881,56.6001
1,5,21.2269,118.632
2,0,1.91203,11.8081
2,1,25.4565,1.51988
2,2,4.18888,116.961
2,3,1.20675,49.5213
2,4,12.5881,56.6001
2,5,6.22344,143.519
3,0,1.91203,11.8081
3,1,25.4565,1.51988
3,2,4.18888,116.961
3,3,1.20675,49.5213
3,4,12.5881,56.6001
3,5,11.975,51.1399
4,0,1.91203,11.8081
4,1,25.4565,1.51988
4,2,4.18888,116.961
4,3,1.20675,49.5213
4,4,14.9998,84.6488
4,5,22.2822,140.761
5,0,1.91203,11.8081
5,1,25.4565,1.51988
5,2,4.18888,116.961
5,3,1.20675,49.5213
5,4,14.9998,84.6488
5,5,4.5635,11.1559
6,0,1.91203,11.8081
6,1,25.4565,1.51988
6,2,4.18888,116.961
6,3,1.20675,49.5213
6,4,14.9998,84.6488
6,5,1.99237,143.634
7,0,1.91203,11.8081
7,1,25.4565,1.51988
7,2,4.18888,116.961
7,3,1.20675,49.5213
7,4,14.9998,84.6488
7,5,25.4888,23.3058
8,0,1.91203,11.8081
8,1,25.4565,1.51988
8,2,4.18888,116.961
8,3,1.20675,49.5213
8,4,19.8034,102.641
8,5,19.0551,60.9727
9,0,1.91203,11.8081
9,1,25.4565,1.51988
9,2,4.18888,116.961
9,3,1.20675,49.5213
9,4,19.8034,102.641
9,5,1.19092,104.368
10,0,1.91203,11.8081
10,1,25.4565,1.51988
10,2,4.18888,116.961
10,3,1.20675,49.5213
10,4,19.8034,102.641
10,5,9.51133,144.194
11,0,1.91203,11.8081
11,1,25.4565,1.51988
11,2,4.18888,116.961
11,3,1.20675,49.5213
11,4,19.8034,102.641
11,5,1.20714,132.736
12,0,1.91203,11.8081
12,1,25.4565,1.51988
12,2,4.18888,116.961
12,3,1.20675,49.5213
12,4,8.64491,68.4568
12,5,6.74657,33.9515
13,0,1.91203,11.8081
13,1,25.4565,1.51988
13,2,4.18888,116.961
13,3,1.20675,49.5213
13,4,8.64491,68.4568
13,5,11.0148,43.3108
14,0,1.91203,11.8081
14,1,25.4565,1.51988
14,2,4.18888,116.961
14,3,1.20675,49.5213
14,4,8.64491,68.4568
14,5,0.184586,30.7925
15,0,1.91203,11.8081
15,1,25.4565,1.51988
15,2,4.18888,116.961
15,3,1.20675,49.5213
15,4,8.64491,68.4568
15,5,11.2763,111.908
16,0,1.91203,11.8081
16,1,25.4565,1.51988
16,2,4.18888,116.961
16,3,8.83877,125.068
16,4,16.5214,9.64367
16,5,25.3826,37.5183
17,0,1.91203,11.8081
17,1,25.4565,1.51988
17,2,4.18888,116.961
17,3,8.83877,125.068
17,4,16.5214,9.64367
17,5,13.9603,32.3423
18,0,1.91203,11.8081
18,1,25.4565,1.51988
18,2,4.18888,116.961
18,3,8.83877,125.068
18,4,16.5214,9.64367
18,5,5.37988,149.627
19,0,1.91203,11.8081
19,1,25.4565,1.51988
19,2,4.18888,116.961
19,3,8.83877,125.068
19,4,16.5214,9.64367
19,5,14.4702,9.5888
20,0,1.91203,11.8081
20,1,25.4565,1.51988
20,2,4.18888,116.961
20,3,8.83877,125.068
20,4,13.6554,141.906
20,5,24.3338,109.81
21,0,1.91203,11.8081
21,1,25.4565,1.51988
21,2,4.18888,116.961
21,3,8.83877,125.068
21,4,13.6554,141.906
21,5,3.59575,1.88188
22,0,1.91203,11.8081
22,1,25.4565,1.51988
22,2,4.18888,116.961
