PUBLISHDATE,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
11/10/2016,21.569538,21.315025,20.680802,20.707833,21.3794,24.239171,39.566245,36.145137,32.00428,30.810333,31.574195,28.777548,27.130295,26.577251,25.067919,24.603153,25.87228,36.949236,34.161676,31.067219,29.294993,26.123134,22.769327,21.830322
11/11/2016,20.365907,19.109638,18.033494,17.987773,20.345058,22.681043,32.037525,32.475166,29.976103,29.489476,30.017023,28.613784,27.530267,26.985746,25.476738,24.965181,26.396091,33.509344,33.937091,31.801211,29.198065,27.24519,23.405272,22.548689
11/12/2016,22.336472,21.977149,21.71476,21.725073,22.120662,23.958985,28.23117,30.125881,33.371104,31.341799,29.86548,27.283845,25.634607,24.705661,23.569393,23.418504,25.110359,36.09858,35.24361,32.24525,30.445149,26.648077,24.118182,22.504016
11/13/2016,21.965107,21.513205,20.907121,20.719902,21.823613,23.200949,26.616337,28.055806,27.787741,24.991507,23.858842,22.733828,22.196971,21.615265,20.811124,20.599174,22.514877,36.670603,29.984503,27.405428,26.51421,24.276997,22.055773,20.307618
11/14/2016,20.695442,19.985373,19.85908,20.302053,22.535227,30.079557,44.796739,38.905416,33.189673,31.860179,32.464078,29.227627,28.537926,27.083676,26.053988,25.690077,27.98445,42.351172,37.550673,34.104406,31.426428,27.842401,23.612742,22.148641
11/15/2016,21.413994,20.981458,20.221221,20.40415,22.33845,29.50187,43.264716,39.014432,34.10601,32.037038,33.151955,30.972117,28.548253,26.920308,25.623686,25.059281,26.727268,42.227625,38.223148,36.405337,32.596954,27.897424,23.133451,21.902309
11/16/2016,21.131822,20.747742,20.27338,20.414729,21.523725,27.568568,39.536129,39.189074,34.894488,32.545626,32.589756,29.44634,27.149029,26.149948,25.271089,24.706251,27.621279,42.277981,36.900114,34.519029,30.218394,25.487129,21.857836,20.562689
11/17/2016,20.375314,19.936363,19.104727,19.001065,19.879142,24.699609,36.154694,30.784659,28.277957,27.346249,27.069769,26.05283,25.636245,25.179009,24.317551,23.901858,27.140565,42.700454,33.174558,30.820476,28.282343,24.673802,20.795358,19.451854
11/18/2016,18.64162,17.875811,17.713266,17.71084,18.703855,23.244668,31.409151,30.287777,26.84442,26.631598,27.035687,25.881919,25.332763,24.85274,23.852695,23.404101,25.787981,39.058697,28.992712,26.964229,25.528137,22.983109,20.462756,18.555709
11/19/2016,20.387035,19.81994,18.538508,18.145808,19.817045,21.168051,22.639507,22.775409,23.842059,24.371635,24.015979,23.527551,23.094117,22.888412,22.781726,22.969632,24.662134,37.22293,35.578556,33.293102,29.926566,27.111083,23.367612,22.089395
11/20/2016,21.308,20.829553,20.282896,20.242602,21.253611,22.283527,23.339651,24.100715,25.247129,25.048271,24.604839,23.940592,23.7289,23.266059,23.199239,23.215498,25.763689,43.959038,38.770055,36.907346,34.775107,28.4538,24.79853,23.344253
11/21/2016,23.277092,22.991926,22.900874,22.957863,24.169556,33.824061,51.625057,49.181716,37.826361,36.017179,33.806999,31.604265,27.944463,26.941987,25.872757,25.294273,29.603083,51.940208,43.680058,40.028593,38.337766,31.734664,25.21463,24.10196
11/22/2016,23.625752,23.373555,23.296596,23.276452,24.236743,31.6572,47.065996,44.985438,35.650474,33.729714,30.965162,29.311722,27.240054,26.557986,25.757224,24.968774,27.897955,44.263976,34.974203,34.348537,32.165845,28.341993,23.881738,23.405962
11/23/2016,23.245487,22.931762,22.741061,22.750391,23.545481,27.467575,39.702392,37.291638,33.033836,32.682853,29.437792,28.637558,26.052254,25.435725,24.64822,24.483706,26.358247,36.481403,31.1557,30.122327,28.240694,25.387719,23.183296,22.446214
11/24/2016,22.011491,21.152664,20.263559,20.079322,20.22325,21.402949,21.903653,23.113816,23.918885,24.986955,24.965772,24.33748,23.055021,22.258425,21.746461,21.575511,22.1773,24.388369,23.809841,23.185505,23.296946,22.395576,21.521118,20.569561
11/25/2016,19.889707,18.914211,17.933892,18.284958,19.564916,20.791382,23.026882,23.104538,24.091299,24.276425,24.062344,23.156263,22.664604,22.3966,22.090965,22.104544,22.967708,32.352528,25.987581,24.933568,24.22289,22.765792,21.263235,20.224899
11/26/2016,21.487416,20.338331,19.73505,19.653827,20.296824,21.475247,22.516474,23.459692,24.635781,25.014729,24.960654,23.847601,23.096452,22.343606,22.006495,22.086486,23.028487,30.387308,27.272401,26.873624,26.60362,24.936579,22.649791,21.845274
11/27/2016,21.83533,20.449817,20.684135,20.469557,21.449737,21.946574,23.354528,24.553959,25.087354,24.939036,24.409363,23.504554,23.011789,22.389574,22.168623,22.295074,23.726473,36.75912,31.746187,30.733206,29.594642,26.237043,22.702626,21.508198
11/28/2016,20.736388,20.160056,19.918607,19.69389,20.924683,27.073489,43.716564,35.50639,31.537832,29.999518,28.525804,27.384963,25.075918,24.271254,23.46272,23.421235,25.073294,37.26317,30.910913,30.09352,28.506157,24.478012,21.663519,20.212454
11/29/2016,20.666638,20.084596,18.797307,19.193488,20.197586,22.189377,29.257025,29.859152,30.331233,30.274115,30.704778,30.413873,28.709548,27.772022,26.290849,26.154293,28.793751,38.185812,34.393612,31.584189,31.547268,25.845359,22.277867,20.826185
11/30/2016,20.497221,19.573512,18.891008,19.025899,20.078662,22.124495,29.388566,28.653645,30.495012,33.359963,32.076432,30.542839,28.820807,27.904408,26.709987,26.163373,28.969593,36.176893,33.41215,32.049213,30.265239,25.307222,22.028076,19.908665
12/1/2016,20.380555,19.582388,18.607211,18.974449,20.321132,22.215385,28.492829,30.025906,28.727127,29.673775,28.566377,28.600648,26.769115,26.505348,25.765351,25.888571,31.765631,45.785002,41.247128,40.338439,39.911898,33.323938,24.789042,23.035061
12/2/2016,24.203093,23.284836,22.97885,23.475415,24.856595,29.301266,45.832584,47.619992,40.214116,39.443133,36.30332,32.972,30.21398,28.630601,27.311205,27.445893,32.682414,50.859837,47.021494,41.256482,41.207352,35.120068,26.265841,23.686403
12/3/2016,24.798223,23.821246,23.396249,23.481187,23.939383,24.961861,27.371534,32.742414,35.401303,35.543753,32.435073,28.816861,26.786965,25.487414,25.246455,25.317508,28.984768,44.486663,44.404458,42.986671,41.06306,36.561676,28.646038,25.712664
12/4/2016,24.70997,23.959273,23.740886,23.623863,23.559583,24.300917,25.251617,26.40318,27.934547,28.757054,27.886111,27.251891,26.630002,25.912452,25.158577,25.046032,28.217093,44.024566,40.721386,39.18868,38.208187,32.632811,26.415516,24.303737
12/5/2016,23.755349,23.543107,23.3115,23.479529,24.052412,25.835722,39.758675,38.063397,36.491518,35.834963,34.021545,31.840843,30.405779,29.468286,28.140119,28.238531,31.460033,46.781559,42.104062,39.456076,37.366104,32.540011,26.810403,24.685226
12/6/2016,24.712358,24.047917,23.840207,23.671351,24.795302,27.311981,40.636762,41.562452,37.829162,41.245681,41.327492,39.692153,37.365254,34.88465,32.322731,32.047147,36.594836,49.654838,44.520892,39.759233,38.265989,34.143735,28.298606,25.224139
12/7/2016,25.219709,24.51806,23.99866,24.095127,25.14033,26.950426,39.631924,40.403685,35.861306,34.359869,33.460047,31.045814,30.505093,29.804405,29.128005,29.283217,32.515393,45.992079,41.548794,40.114745,39.958307,34.754327,29.702275,26.513174
12/8/2016,25.355205,24.35533,23.630921,23.802367,24.52967,26.726835,39.452921,42.320194,36.006487,34.552869,33.094706,30.741332,29.360009,28.389975,27.646591,27.869128,32.582657,43.890386,42.307095,42.091238,41.6397,35.8677,30.00849,27.043654
12/9/2016,28.036688,27.196602,26.131079,27.711472,29.199633,32.338677,50.432002,56.952159,47.692528,45.936682,43.196421,36.884465,34.016254,32.260451,31.73085,32.215463,35.552242,52.632366,48.149977,46.689439,49.118743,42.79681,34.598861,31.355557
12/10/2016,30.713696,29.303384,28.92125,29.095997,29.261774,31.408868,35.856977,40.806731,41.827309,41.453363,36.210459,32.23909,30.339592,28.375711,27.763474,27.960249,31.053521,46.520707,42.014485,42.091249,41.979234,39.161712,33.770244,30.338165
12/11/2016,30.838914,29.36784,28.526845,28.49377,28.699912,29.502423,30.571046,35.17804,33.832631,31.440612,30.342783,29.191769,27.851855,27.141174,26.59753,26.808008,30.868322,41.272949,36.95225,34.345986,32.217147,30.443466,27.767201,25.560977
12/12/2016,25.340318,24.945391,24.671232,24.452038,24.91147,25.846217,33.511364,36.602556,34.228299,33.825727,34.526966,33.585799,32.291662,30.85681,30.157387,29.894307,32.59479,43.082364,40.225532,39.54877,39.373113,34.513021,29.207765,25.869466
12/13/2016,27.085066,26.461802,25.972783,26.332219,27.181028,30.524179,47.916883,52.653332,43.115338,40.97303,39.451698,37.086123,34.41703,32.935598,32.32532,32.161852,36.186335,54.304315,49.481606,48.930043,47.584664,41.475549,30.857881,27.43244
12/14/2016,27.225226,25.79197,25.959701,26.294343,27.008743,30.474552,48.243827,55.189029,45.488856,41.67044,39.997269,34.379797,33.36812,32.445613,31.868234,31.591268,34.256878,53.794106,52.930317,51.98856,51.338032,42.736014,33.567201,29.26124
