L(l),2,K,4,T,7

Period,Day Ahead Price
0,10.726
1,17.5171
2,14.3975
3,12.3257
4,13.7221
5,13.9049
6,12.5263

Scenario ID,Period,Real Time Price,Renewable Generation Output
0,0,10.3853,147.3
0,1,18.99,88.6153
0,2,5.24148,26.6591
0,3,14.9008,29.2715
0,4,13.292,99.7773
0,5,2.58169,3.52616
0,6,22.055,35.981
1,0,10.3853,147.3
1,1,18.99,88.6153
1,2,5.24148,26.6591
1,3,14.9008,29.2715
1,4,13.292,99.7773
1,5,2.58169,3.52616
1,6,13.6089,57.5227
2,0,10.3853,147.3
2,1,18.99,88.6153
2,2,5.24148,26.6591
2,3,14.9008,29.2715
2,4,13.292,99.7773
2,5,2.58169,3.52616
2,6,2.10876,76.8067
3,0,10.3853,147.3
3,1,18.99,88.6153
3,2,5.24148,26.6591
3,3,14.9008,29.2715
3,4,13.292,99.7773
3,5,2.58169,3.52616
3,6,2.52121,73.6965
4,0,10.3853,147.3
4,1,18.99,88.6153
4,2,5.24148,26.6591
4,3,14.9008,29.2715
4,4,13.292,99.7773
4,5,13.924,84.2877
4,6,22.7878,116.025
5,0,10.3853,147.3
5,1,18.99,88.6153
5,2,5.24148,26.6591
5,3,14.9008,29.2715
5,4,13.292,99.7773
5,5,13.924,84.2877
5,6,7.16906,149.955
6,0,10.3853,147.3
6,1,18.99,88.6153
6,2,5.24148,26.6591
6,3,14.9008,29.2715
6,4,13.292,99.7773
6,5,13.924,84.2877
6,6,22.538,45.7202
7,0,10.3853,147.3
7,1,18.99,88.6153
7,2,5.24148,26.6591
7,3,14.9008,29.2715
7,4,13.292,99.7773
7,5,13.924,84.2877
7,6,4.6947,12.5502
8,0,10.3853,147.3
8,1,18.99,88.6153
8,2,5.24148,26.6591
8,3,14.9008,29.2715
8,4,13.292,99.7773
8,5,0.334657,148.487
8,6,17.8141,143.249
9,0,10.3853,147.3
9,1,18.99,88.6153
9,2,5.24148,26.6591
9,3,14.9008,29.2715
9,4,13.292,99.7773
9,5,0.334657,148.487
