L(l),3,K,4,T,6

Period,Day Ahead Price
0,0.573133
1,18.4291
2,12.3192
3,13.9486
4,13.3621
5,13.2467

Scenario ID,Period,Real Time Price,Renewable Generation Output
0,0,0.534776,8.56708
0,1,21.8397,84.0063
0,2,23.0373,121.647
0,3,17.2239,81.7573
0,4,14.3992,13.7789
0,5,19.3611,44.2613
1,0,0.534776,8.56708
1,1,21.8397,84.0063
1,2,23.0373,121.647
1,3,17.2239,81.7573
1,4,14.3992,13.7789
1,5,3.95616,62.6859
2,0,0.534776,8.56708
2,1,21.8397,84.0063
2,2,23.0373,121.647
2,3,17.2239,81.7573
2,4,14.3992,13.7789
2,5,8.11285,119.204
3,0,0.534776,8.56708
3,1,21.8397,84.0063
3,2,23.0373,121.647
3,3,17.2239,81.7573
3,4,14.3992,13.7789
3,5,1.48245,109.726
4,0,0.534776,8.56708
4,1,21.8397,84.0063
4,2,23.0373,121.647
4,3,17.2239,81.7573
4,4,21.4625,74.0785
4,5,3.49186,19.7025
5,0,0.534776,8.56708
5,1,21.8397,84.0063
5,2,23.0373,121.647
5,3,17.2239,81.7573
5,4,21.4625,74.0785
5,5,23.757,1.45894
6,0,0.534776,8.56708
6,1,21.8397,84.0063
6,2,23.0373,121.647
6,3,17.2239,81.7573
6,4,21.4625,74.0785
6,5,24.684,94.0182
7,0,0.534776,8.56708
7,1,21.8397,84.0063
7,2,23.0373,121.647
7,3,17.2239,81.7573
7,4,21.4625,74.0785
7,5,17.3747,86.4795
8,0,0.534776,8.56708
8,1,21.8397,84.0063
8,2,23.0373,121.647
8,3,17.2239,81.7573
8,4,10.7379,145.889
8,5,9.53893,70.4476
9,0,0.534776,8.56708
9,1,21.8397,84.0063
9,2,23.0373,121.647
9,3,17.2239,81.7573
9,4,10.7379,145.889
9,5,4.34517,99.0765
10,0,0.534776,8.56708
10,1,21.8397,84.0063
10,2,23.0373,121.647
10,3,17.2239,81.7573
10,4,10.7379,145.889
10,5,1.03496,83.5611
11,0,0.534776,8.56708
11,1,21.8397,84.0063
11,2,23.0373,121.647
11,3,17.2239,81.7573
11,4,10.7379,145.889
11,5,19.6776,71.141
12,0,0.534776,8.56708
12,1,21.8397,84.0063
12,2,23.0373,121.647
12,3,17.2239,81.7573
12,4,4.66181,4.75615
12,5,9.54952,6.52388
13,0,0.534776,8.56708
13,1,21.8397,84.0063
13,2,23.0373,121.647
13,3,17.2239,81.7573
13,4,4.66181,4.75615
13,5,17.9638,34.0709
14,0,0.534776,8.56708
14,1,21.8397,84.0063
14,2,23.0373,121.647
14,3,17.2239,81.7573
14,4,4.66181,4.75615
14,5,3.20341,113.06
15,0,0.534776,8.56708
15,1,21.8397,84.0063
15,2,23.0373,121.647
15,3,17.2239,81.7573
15,4,4.66181,4.75615
15,5,14.3001,130.18
16,0,0.534776,8.56708
16,1,21.8397,84.0063
16,2,23.0373,121.647
16,3,2.57594,88.2028
16,4,12.1994,148.891
16,5,1.26901,105.325
17,0,0.534776,8.56708
17,1,21.8397,84.0063
17,2,23.0373,121.647
17,3,2.57594,88.2028
17,4,12.1994,148.891
17,5,7.43004,54.1261
18,0,0.534776,8.56708
18,1,21.8397,84.0063
18,2,23.0373,121.647
18,3,2.57594,88.2028
18,4,12.1994,148.891
18,5,12.9183,51.4182
19,0,0.534776,8.56708
19,1,21.8397,84.0063
19,2,23.0373,121.647
19,3,2.57594,88.2028
19,4,12.1994,148.891
19,5,2.40101,94.6737
20,0,0.534776,8.56708
20,1,21.8397,84.0063
20,2,23.0373,121.647
20,3,2.57594,88.2028
20,4,1.55376,69.902
20,5,12.3276,0.911862
21,0,0.534776,8.56708
21,1,21.8397,84.0063
21,2,23.0373,121.647
21,3,2.57594,88.2028
21,4,1.55376,69.902
21,5,16.663,63.5284
22,0,0.534776,8.56708
22,1,21.8397,84.0063
22,2,23.0373,121.647
22,3,2.57594,88.2028
22,4,1.55376,69.902
22,5,16.4545,46.3714
23,0,0.534776,8.56708
23,1,21.8397,84.0063
23,2,23.0373,121.647
23,3,2.57594,88.2028
23,4,1.55376,69.902
23,5,0.00135934,149.962
24,0,0.534776,8.56708
24,1,21.8397,84.0063
24,2,23.0373,121.647
24,3,2.57594,88.2028
24,4,15.0633,139.349
24,5,20.2486,25.0761
25,0,0.534776,8.56708
25,1,21.8397,84.0063
25,2,23.0373,121.647
25,3,2.57594,88.2028
25,4,15.0633,139.349
25,5,17.1667,122.79
26,0,0.534776,8.56708
26,1,21.8397,84.0063
26,2,23.0373,121.647
26,3,2.57594,88.2028
26,4,15.0633,139.349
26,5,18.8305,62.5632
27,0,0.534776,8.56708
27,1,21.8397,84.0063
27,2,23.0373,121.647
27,3,2.57594,88.2028
27,4,15.0633,139.349
27,5,7.61471,13.7307
28,0,0.534776,8.56708
28,1,21.8397,84.0063
28,2,23.0373,121.647
28,3,2.57594,88.2028
28,4,17.1126,0.187423
28,5,11.9751,147.569
29,0,0.534776,8.56708
29,1,21.8397,84.0063
29,2,23.0373,121.647
29,3,2.57594,88.2028
29,4,17.1126,0.187423
29,5,8.28561,87.5683
30,0,0.534776,8.56708
30,1,21.8397,84.0063
30,2,23.0373,121.647
30,3,2.57594,88.2028
30,4,17.1126,0.187423
30,5,19.1756,130.302
31,0,0.534776,8.56708
31,1,21.8397,84.0063
31,2,23.0373,121.647
31,3,2.57594,88.2028
31,4,17.1126,0.187423
31,5,11.743,117.95
32,0,0.534776,8.56708
32,1,21.8397,84.0063
32,2,23.0373,121.647
32,3,6.03663,35.7719
32,4,22.5137,144.242
32,5,14.8421,110.614
33,0,0.534776,8.56708
33,1,21.8397,84.0063
33,2,23.0373,121.647
33,3,6.03663,35.7719
33,4,22.5137,144.242
33,5,3.82646,10.1557
34,0,0.534776,8.56708
34,1,21.8397,84.0063
34,2,23.0373,121.647
34,3,6.03663,35.7719
34,4,22.5137,144.242
34,5,2.08552,35.9277
35,0,0.534776,8.56708
35,1,21.8397,84.0063
35,2,23.0373,121.647
35,3,6.03663,35.7719
35,4,22.5137,144.242
35,5,18.1704,83.1526
36,0,0.534776,8.56708
36,1,21.8397,84.0063
36,2,23.0373,121.647
36,3,6.03663,35.7719
36,4,18.9576,138.949
36,5,6.38553,50.9621
37,0,0.534776,8.56708
37,1,21.8397,84.0063
37,2,23.0373,121.647
37,3,6.03663,35.7719
37,4,18.9576,138.949
37,5,25.4247,131.77
38,0,0.534776,8.56708
38,1,21.8397,84.0063
38,2,23.0373,121.647
38,3,6.03663,35.7719
38,4,18.9576,138.949
38,5,16.8711,146.689
39,0,0.534776,8.56708
39,1,21.8397,84.0063
39,2,23.0373,121.647
39,3,6.03663,35.7719
39,4,18.9576,138.949
39,5,22.8336,64.1526
40,0,0.534776,8.56708
40,1,21.8397,84.0063
40,2,23.0373,121.647
40,3,6.03663,35.7719
40,4,2.91285,60.5021
40,5,3.7726,80.7709
41,0,0.534776,8.56708
41,1,21.8397,84.0063
41,2,23.0373,121.647
41,3,6.03663,35.7719
41,4,2.91285,60.5021
41,5,6.40338,130.402
42,0,0.534776,8.56708
42,1,21.8397,84.0063
42,2,23.0373,121.647
42,3,6.03663,35.7719
42,4,2.91285,60.5021
42,5,24.8446,80.8736
43,0,0.534776,8.56708
43,1,21.8397,84.0063
43,2,23.0373,121.647
43,3,6.03663,35.7719
43,4,2.91285,60.5021
43,5,24.983,62.4211
44,0,0.534776,8.56708
44,1,21.8397,84.0063
44,2,23.0373,121.647
44,3,6.03663,35.7719
44,4,22.7377,141.265
44,5,13.5966,41.9345
45,0,0.534776,8.56708
45,1,21.8397,84.0063
45,2,23.0373,121.647
45,3,6.03663,35.7719
45,4,22.7377,141.265
45,5,25.9982,39.0706
46,0,0.534776,8.56708
46,1,21.8397,84.0063
46,2,23.0373,121.647
46,3,6.03663,35.7719
46,4,22.7377,141.265
46,5,3.85441,67.7374
47,0,0.534776,8.56708
47,1,21.8397,84.0063
47,2,23.0373,121.647
47,3,6.03663,35.7719
47,4,22.7377,141.265
47,5,1.21684,107.864
48,0,0.534776,8.56708
