L(l),8,T,24

Period,Day Ahead Price
0,4.99889
1,18.068
2,13.9583
3,8.98833
4,13.6956
5,11.1926
6,14.5007
7,13.6521
8,11.6295
9,14.5433
10,13.0555
11,13.5723
12,13.1472
13,14.5825
14,14.2522
15,13.9743
16,14.0264
17,12.6208
18,11.9935
19,13.1102
20,13.5556
21,13.5051
22,12.173
23,14.0619

Scenario ID,Period,Real Time Price,Renewable Generation Output
0,0,5.13019,34.6528
0,1,20.8013,131.266
0,2,15.8163,21.1473
0,3,14.0936,136.868
0,4,21.8698,126.428
0,5,25.5,100.367
0,6,16.768,89.683
0,7,20.0437,110.812
0,8,15.2059,41.4597
0,9,9.10906,101.243
0,10,24.2885,38.6122
0,11,24.4282,102.983
0,12,13.7457,122.761
0,13,8.14421,115.432
0,14,24.1197,114.069
0,15,15.5417,85.5248
0,16,24.9293,84.2562
0,17,11.3422,115.933
0,18,7.16389,66.6833
0,19,13.7368,35.4627
0,20,10.6904,126.807
0,21,23.6649,3.64178
0,22,2.49206,96.0994
0,23,15.2761,42.8144
1,0,5.13019,34.6528
1,1,20.8013,131.266
1,2,15.8163,21.1473
1,3,14.0936,136.868
1,4,21.8698,126.428
1,5,25.5,100.367
1,6,16.768,89.683
1,7,20.0437,110.812
1,8,15.2059,41.4597
1,9,9.10906,101.243
1,10,13.2333,7.31241
1,11,9.97663,96.4961
1,12,6.74739,143.936
1,13,17.4242,65.615
1,14,11.6161,117.904
1,15,5.47805,104.088
1,16,4.68564,141.564
1,17,5.47626,31.0065
1,18,15.6915,25.6512
1,19,20.8987,21.657
1,20,24.3629,106.742
1,21,19.8414,142.628
1,22,23.0962,18.1536
1,23,15.7269,113.503
2,0,5.13019,34.6528
2,1,20.8013,131.266
2,2,15.8163,21.1473
2,3,14.0936,136.868
2,4,21.8698,126.428
2,5,25.5,100.367
2,6,16.768,89.683
2,7,20.0437,110.812
2,8,15.2059,41.4597
2,9,19.4656,141.994
2,10,2.81404,98.8208
2,11,6.54674,112.461
2,12,18.0299,68.1363
2,13,2.13695,41.5146
2,14,0.633341,118.765
2,15,18.3502,14.7811
2,16,18.7924,49.9401
2,17,9.6596,148.196
2,18,1.74048,96.3063
2,19,10.6018,34.9256
2,20,1.41115,67.4676
2,21,15.3579,30.9144
2,22,6.05975,119.694
2,23,20.844,44.6917
3,0,5.13019,34.6528
3,1,20.8013,131.266
3,2,15.8163,21.1473
3,3,14.0936,136.868
3,4,21.8698,126.428
3,5,25.5,100.367
3,6,16.768,89.683
3,7,20.0437,110.812
3,8,15.2059,41.4597
3,9,19.4656,141.994
3,10,19.0307,48.4349
3,11,16.11,80.6487
3,12,14.8778,103.553
3,13,5.76192,43.2833
3,14,23.2966,4.00072
3,15,20.8336,57.1819
3,16,10.1799,18.7485
3,17,10.1901,143.956
3,18,21.7079,32.4626
3,19,19.8546,141.012
3,20,13.748,131.59
3,21,3.84457,130.712
3,22,23.3141,131.897
3,23,2.75773,131.106
4,0,5.13019,34.6528
4,1,20.8013,131.266
4,2,15.8163,21.1473
4,3,14.0936,136.868
4,4,21.8698,126.428
4,5,25.5,100.367
4,6,16.768,89.683
4,7,20.0437,110.812
4,8,4.3832,28.5262
4,9,22.1748,42.0298
4,10,10.556,123.092
4,11,22.7189,140.828
4,12,5.04692,21.2967
4,13,13.3799,83.9179
4,14,0.0660034,114.988
4,15,21.1673,129.076
4,16,22.3078,148.439
4,17,23.8224,19.6676
4,18,25.0732,142.195
4,19,15.1703,36.4097
4,20,23.5959,82.8232
4,21,9.9415,117.39
4,22,24.3106,41.1905
4,23,6.72421,28.0863
5,0,5.13019,34.6528
5,1,20.8013,131.266
5,2,15.8163,21.1473
5,3,14.0936,136.868
5,4,21.8698,126.428
5,5,25.5,100.367
5,6,16.768,89.683
5,7,20.0437,110.812
5,8,4.3832,28.5262
5,9,22.1748,42.0298
5,10,21.8168,112.198
5,11,1.6673,39.1331
5,12,20.1406,28.0767
5,13,4.16276,126.801
5,14,19.4609,61.6039
5,15,2.10873,43.0572
5,16,10.5321,67.6115
5,17,6.11864,139.891
5,18,16.4692,73.7529
5,19,17.1329,19.3373
5,20,10.2054,98.4439
5,21,4.08766,71.2449
5,22,23.0859,123.16
5,23,0.83767,103.232
6,0,5.13019,34.6528
6,1,20.8013,131.266
6,2,15.8163,21.1473
6,3,14.0936,136.868
6,4,21.8698,126.428
6,5,25.5,100.367
6,6,16.768,89.683
6,7,20.0437,110.812
6,8,4.3832,28.5262
6,9,25.2433,67.4078
6,10,20.2532,5.96414
6,11,0.594358,14.6681
6,12,10.5349,139.139
6,13,0.880874,47.6672
6,14,14.668,88.3102
6,15,13.8802,28.698
6,16,19.9257,22.5235
6,17,25.6913,134.276
6,18,10.0028,121.424
6,19,12.1341,145.842
6,20,2.02647,140.373
6,21,13.4836,27.527
6,22,9.78307,37.4124
6,23,18.3461,18.3072
7,0,5.13019,34.6528
7,1,20.8013,131.266
7,2,15.8163,21.1473
7,3,14.0936,136.868
7,4,21.8698,126.428
7,5,25.5,100.367
7,6,16.768,89.683
7,7,20.0437,110.812
7,8,4.3832,28.5262
7,9,25.2433,67.4078
7,10,12.4173,135.123
7,11,20.6424,89.7847
7,12,24.7901,141.754
7,13,25.5956,20.4754
7,14,12.0218,80.0677
7,15,19.5415,52.1179
7,16,18.6675,102.511
7,17,10.7836,68.5575
7,18,21.5922,101.998
7,19,4.23944,24.31
7,20,16.2422,26.924
7,21,9.26722,139.314
7,22,7.85458,25.4735
7,23,4.90345,135.786
8,0,5.13019,34.6528
8,1,20.8013,131.266
8,2,15.8163,21.1473
8,3,14.0936,136.868
8,4,21.8698,126.428
8,5,25.5,100.367
8,6,16.768,89.683
8,7,3.41213,130.677
8,8,14.442,60.3156
8,9,18.473,8.09456
8,10,5.53102,7.0251
8,11,25.9724,65.7422
8,12,1.99249,35.3731
8,13,6.44089,135.652
8,14,6.26589,103.314
8,15,1.59523,22.7115
8,16,25.7344,33.1542
8,17,4.80819,63.1099
8,18,4.03316,105.369
8,19,12.4896,126.191
8,20,4.97602,136.667
8,21,6.78891,77.712
8,22,22.092,107.69
8,23,18.7724,85.5069
9,0,5.13019,34.6528
9,1,20.8013,131.266
9,2,15.8163,21.1473
9,3,14.0936,136.868
9,4,21.8698,126.428
9,5,25.5,100.367
9,6,16.768,89.683
9,7,3.41213,130.677
9,8,14.442,60.3156
9,9,18.473,8.09456
9,10,14.7598,62.278
9,11,7.79334,141.376
9,12,20.6601,115.12
9,13,18.5291,80.3915
9,14,25.8229,81.8388
9,15,23.9587,136.129
9,16,12.2953,15.2868
9,17,24.8917,75.258
9,18,17.9286,73.2169
9,19,3.77787,122.132
9,20,0.844265,143.396
9,21,6.09818,114.319
9,22,12.6937,129.93
9,23,10.3928,111.354
10,0,5.13019,34.6528
10,1,20.8013,131.266
10,2,15.8163,21.1473
10,3,14.0936,136.868
10,4,21.8698,126.428
10,5,25.5,100.367
10,6,16.768,89.683
10,7,3.41213,130.677
10,8,14.442,60.3156
10,9,0.540117,68.9998
10,10,13.2827,91.9357
10,11,24.6372,129.744
10,12,17.1676,34.0157
10,13,2.22158,94.0831
10,14,15.2866,115.374
10,15,15.907,112.975
10,16,15.213,148.156
10,17,17.8965,55.5814
10,18,15.0817,95.6157
10,19,8.70423,128.111
10,20,12.8457,10.1163
10,21,6.15642,26.4908
10,22,21.3032,63.3728
10,23,6.60515,141.643
11,0,5.13019,34.6528
11,1,20.8013,131.266
11,2,15.8163,21.1473
11,3,14.0936,136.868
11,4,21.8698,126.428
11,5,25.5,100.367
11,6,16.768,89.683
11,7,3.41213,130.677
11,8,14.442,60.3156
11,9,0.540117,68.9998
11,10,18.2297,34.1733
11,11,14.7435,113.008
11,12,10.1869,43.5061
11,13,8.85522,130.722
11,14,20.3851,34.4883
11,15,3.81839,13.7152
11,16,23.5636,95.1699
11,17,17.9992,29.1356
11,18,16.8452,83.2145
11,19,21.9949,100.783
11,20,17.7602,55.5919
11,21,6.38238,86.4822
11,22,9.80685,18.3689
11,23,15.5443,28.2498
12,0,5.13019,34.6528
12,1,20.8013,131.266
12,2,15.8163,21.1473
12,3,14.0936,136.868
12,4,21.8698,126.428
12,5,25.5,100.367
12,6,16.768,89.683
12,7,3.41213,130.677
12,8,18.6021,31.9535
12,9,20.5168,141.517
12,10,24.7779,60.9622
12,11,0.785138,13.9019
12,12,2.61205,15.9503
12,13,9.72954,5.29132
12,14,25.8302,83.8223
12,15,23.7396,88.7101
12,16,6.55217,40.5136
12,17,12.8662,25.6398
12,18,17.5532,110.365
12,19,14.5245,22.9655
12,20,7.35993,70.8266
12,21,17.5198,24.4833
12,22,14.8653,47.3608
12,23,8.99686,148.71
13,0,5.13019,34.6528
13,1,20.8013,131.266
13,2,15.8163,21.1473
13,3,14.0936,136.868
13,4,21.8698,126.428
13,5,25.5,100.367
13,6,16.768,89.683
13,7,3.41213,130.677
13,8,18.6021,31.9535
13,9,20.5168,141.517
13,10,0.435707,44.4575
13,11,2.87913,96.8068
13,12,25.9409,133.075
13,13,16.442,37.4662
13,14,7.07669,26.0183
13,15,11.237,21.2566
13,16,4.87775,46.0316
13,17,0.3995,58.3133
13,18,7.65809,77.2818
13,19,10.0578,131.312
13,20,13.0141,7.51488
13,21,7.19915,13.6732
13,22,11.4385,11.6188
13,23,6.64422,56.7088
14,0,5.13019,34.6528
14,1,20.8013,131.266
14,2,15.8163,21.1473
14,3,14.0936,136.868
14,4,21.8698,126.428
14,5,25.5,100.367
14,6,16.768,89.683
14,7,3.41213,130.677
14,8,18.6021,31.9535
14,9,16.1645,133.478
14,10,23.7268,33.7588
14,11,7.24701,89.986
14,12,0.236712,116.303
14,13,17.8901,26.7078
14,14,2.24336,23.8146
14,15,7.44909,137.276
14,16,10.1693,70.3223
