L(l),6,T,24

Period,Day Ahead Price
0,27.145
1,9.65924
2,9.43901
3,11.3734
4,11.4087
5,13.4938
6,13.7644
7,11.0089
8,13.4608
9,11.4193
10,13.1531
11,13.6768
12,12.5477
13,13.4929
14,13.111
15,12.1326
16,13.4861
17,13.2464
18,13.7114
19,12.802
20,14.6265
21,12.8904
22,11.8423
23,11.9058

Scenario ID,Period,Real Time Price,Renewable Generation Output
0,0,25.4789,68.7443
0,1,13.0116,106.797
0,2,7.42136,147.39
0,3,22.2557,103.109
0,4,6.17933,23.1685
0,5,11.3934,125.321
0,6,23.2701,71.9519
0,7,6.42976,113.965
0,8,3.04069,102.919
0,9,13.5319,24.7188
0,10,25.6052,62.4008
0,11,11.6314,129.314
0,12,12.0016,97.1442
0,13,8.38672,11.7709
0,14,1.22824,145.025
0,15,0.702337,136.865
0,16,24.3848,110.872
0,17,8.54224,148.34
0,18,22.4942,111.114
0,19,22.1223,0.282134
0,20,0.463611,62.5645
0,21,14.1359,57.8775
0,22,7.55592,23.2356
0,23,24.5481,78.1719
1,0,25.4789,68.7443
1,1,13.0116,106.797
1,2,7.42136,147.39
1,3,22.2557,103.109
1,4,6.17933,23.1685
1,5,11.3934,125.321
1,6,23.2701,71.9519
1,7,6.42976,113.965
1,8,3.96987,36.77
1,9,12.4103,80.9272
1,10,9.69104,31.1231
1,11,1.5353,49.7299
1,12,9.67525,40.6201
1,13,20.8608,10.3917
1,14,19.2702,66.2279
1,15,9.64745,130.865
1,16,13.5525,108.069
1,17,5.71976,7.65762
1,18,2.78113,51.1822
1,19,24.6011,81.5422
1,20,10.5752,104.778
1,21,6.40087,43.1942
1,22,13.716,18.5763
1,23,11.4926,68.8483
2,0,25.4789,68.7443
2,1,13.0116,106.797
2,2,7.42136,147.39
2,3,22.2557,103.109
2,4,6.17933,23.1685
2,5,11.3934,125.321
2,6,23.2701,71.9519
2,7,8.97662,37.465
2,8,17.5663,128.987
2,9,19.5742,82.8165
2,10,3.31894,1.90432
2,11,15.3217,72.3595
2,12,6.80874,92.9427
2,13,11.3993,12.4597
2,14,9.80923,101.228
2,15,6.83145,34.6334
2,16,8.54373,12.9204
2,17,2.09895,3.49876
2,18,6.76925,138.8
2,19,19.9693,36.9265
2,20,19.4199,53.9042
2,21,4.65198,126.01
2,22,6.5396,63.4585
2,23,7.43238,93.6692
3,0,25.4789,68.7443
3,1,13.0116,106.797
3,2,7.42136,147.39
3,3,22.2557,103.109
3,4,6.17933,23.1685
3,5,11.3934,125.321
3,6,23.2701,71.9519
3,7,8.97662,37.465
3,8,14.3198,8.77832
3,9,7.48585,147.838
3,10,18.6028,115.355
3,11,1.96406,138.331
3,12,8.24507,90.0453
3,13,11.5313,62.6022
3,14,20.8429,7.43818
3,15,22.4556,104.059
3,16,13.0258,45.9277
3,17,24.6022,136.627
3,18,22.8943,135.915
3,19,12.5986,32.2924
3,20,24.2926,80.1447
3,21,16.4294,118.448
3,22,22.3016,32.3248
3,23,0.548272,128.817
4,0,25.4789,68.7443
4,1,13.0116,106.797
4,2,7.42136,147.39
4,3,22.2557,103.109
4,4,6.17933,23.1685
4,5,11.3934,125.321
4,6,3.63383,23.3768
4,7,24.6663,34.7166
4,8,21.6984,17.2175
4,9,6.89187,126.322
4,10,24.1156,25.4371
4,11,11.0504,114.773
4,12,6.19085,129.201
4,13,12.1785,148.752
4,14,23.1494,118.508
4,15,1.93033,14.3008
4,16,23.1115,4.84369
4,17,12.634,119.606
4,18,16.8297,135.117
4,19,4.63976,92.792
4,20,4.20173,13.9701
4,21,6.96002,81.7485
4,22,13.2602,119.847
4,23,2.01171,118.85
5,0,25.4789,68.7443
5,1,13.0116,106.797
5,2,7.42136,147.39
5,3,22.2557,103.109
5,4,6.17933,23.1685
5,5,11.3934,125.321
5,6,3.63383,23.3768
5,7,24.6663,34.7166
5,8,14.4247,130.263
5,9,4.17465,113.608
5,10,21.7096,19.4252
5,11,14.2466,77.119
5,12,0.270652,97.7533
5,13,24.1305,76.2921
5,14,22.4359,45.3091
5,15,8.23855,37.6832
5,16,25.3031,51.9591
5,17,12.7834,12.0532
5,18,13.9774,84.9762
5,19,15.7251,110.696
5,20,5.98342,111.589
5,21,25.9027,27.6759
5,22,1.37777,51.0299
5,23,13.7273,141.587
6,0,25.4789,68.7443
6,1,13.0116,106.797
6,2,7.42136,147.39
6,3,22.2557,103.109
6,4,6.17933,23.1685
6,5,11.3934,125.321
6,6,3.63383,23.3768
6,7,4.10651,124.882
6,8,9.08481,63.9051
6,9,10.0955,33.4814
6,10,5.98592,74.5102
6,11,22.7303,2.06007
6,12,9.88862,91.5399
6,13,10.4119,15.3212
6,14,1.11222,115.154
6,15,15.0359,87.3335
6,16,2.01354,57.5994
6,17,18.1761,5.11494
6,18,1.18824,67.1094
6,19,17.7071,22.5685
6,20,20.4481,76.7535
6,21,13.2881,87.8192
6,22,12.9874,140.039
6,23,2.22824,72.7938
7,0,25.4789,68.7443
7,1,13.0116,106.797
7,2,7.42136,147.39
7,3,22.2557,103.109
7,4,6.17933,23.1685
7,5,11.3934,125.321
7,6,3.63383,23.3768
7,7,4.10651,124.882
7,8,17.3216,34.3623
7,9,15.18,82.1071
7,10,4.91029,72.1163
7,11,19.0872,121.433
7,12,25.0635,116.746
7,13,20.215,110.337
7,14,10.0774,143.682
7,15,7.87401,138.986
7,16,11.8636,66.5189
7,17,11.1217,112.537
7,18,17.3335,120.333
7,19,7.04768,116.045
7,20,16.6534,107.916
7,21,4.76959,145.97
7,22,12.8208,44.0782
7,23,13.7313,4.16488
8,0,25.4789,68.7443
8,1,13.0116,106.797
8,2,7.42136,147.39
8,3,22.2557,103.109
8,4,6.17933,23.1685
8,5,15.9237,45.6972
8,6,12.1608,143.07
8,7,12.8978,88.9909
8,8,14.541,124.436
8,9,10.5565,79.1872
8,10,5.8471,61.7858
8,11,10.8966,129.044
8,12,9.12884,129.64
8,13,3.56211,10.6581
8,14,21.7376,139.866
8,15,2.79081,95.7588
8,16,25.1152,61.9416
8,17,5.1003,113.968
8,18,14.3349,93.3555
8,19,14.3543,53.5771
8,20,7.53054,113.858
8,21,1.65231,66.3477
8,22,0.172704,112.799
8,23,19.4123,47.1308
9,0,25.4789,68.7443
9,1,13.0116,106.797
9,2,7.42136,147.39
9,3,22.2557,103.109
9,4,6.17933,23.1685
9,5,15.9237,45.6972
9,6,12.1608,143.07
9,7,12.8978,88.9909
9,8,20.709,100.858
9,9,3.93668,146.194
9,10,7.33229,136.508
9,11,11.0327,89.0333
9,12,0.550719,19.406
9,13,10.6038,94.3273
9,14,7.27296,57.3932
9,15,8.93311,142.332
9,16,21.9412,84.4264
9,17,14.7501,146.513
9,18,19.4509,23.2557
9,19,9.37745,111.257
9,20,5.96045,92.4386
9,21,9.98947,28.4864
9,22,25.358,122.898
9,23,13.074,118.423
10,0,25.4789,68.7443
10,1,13.0116,106.797
10,2,7.42136,147.39
10,3,22.2557,103.109
10,4,6.17933,23.1685
10,5,15.9237,45.6972
10,6,12.1608,143.07
10,7,14.8527,139.912
10,8,24.2219,9.52543
10,9,12.0264,0.933608
10,10,2.02303,109.967
10,11,7.67454,129.015
10,12,15.6389,21.683
10,13,25.8545,19.9111
10,14,3.37492,141.467
10,15,13.1735,123.22
10,16,15.7681,95.1992
10,17,6.45025,55.7834
10,18,10.8523,71.0488
10,19,25.9239,84.7128
10,20,5.94148,145.663
10,21,24.7957,132.059
10,22,3.50652,74.4951
10,23,23.1137,61.3513
11,0,25.4789,68.7443
11,1,13.0116,106.797
11,2,7.42136,147.39
11,3,22.2557,103.109
11,4,6.17933,23.1685
11,5,15.9237,45.6972
11,6,12.1608,143.07
11,7,14.8527,139.912
11,8,25.9633,72.7307
11,9,22.6213,149.63
11,10,6.85425,108.012
11,11,21.5968,69.7322
11,12,22.8122,102.352
11,13,17.328,59.0517
11,14,6.13355,53.14
11,15,3.07662,119.687
11,16,24.564,123.303
11,17,17.2306,1.15674
11,18,1.58262,29.594
11,19,16.1309,119.59
11,20,4.837,82.8214
11,21,22.4721,95.921
11,22,18.2299,97.6474
11,23,7.86567,99.2582
12,0,25.4789,68.7443
12,1,13.0116,106.797
12,2,7.42136,147.39
12,3,22.2557,103.109
12,4,6.17933,23.1685
12,5,15.9237,45.6972
12,6,20.6652,119.969
12,7,8.21927,115.073
12,8,12.4939,66.5847
12,9,9.57982,26.349
12,10,12.5135,66.0568
12,11,16.4445,111.325
12,12,18.2154,42.7747
12,13,9.54441,119.996
12,14,6.76537,41.3878
12,15,17.5043,127.744
12,16,4.91094,76.2755
12,17,0.850325,41.8673
12,18,24.93,47.054
12,19,25.3025,128.543
12,20,15.9955,137.859
12,21,13.451,83.7066
12,22,10.5358,82.8279
12,23,19.2024,61.091
13,0,25.4789,68.7443
13,1,13.0116,106.797
13,2,7.42136,147.39
13,3,22.2557,103.109
13,4,6.17933,23.1685
13,5,15.9237,45.6972
13,6,20.6652,119.969
13,7,8.21927,115.073
13,8,9.74444,22.7688
13,9,12.7421,90.3918
13,10,12.5928,78.6616
13,11,0.0123343,76.4085
13,12,18.2489,33.7865
13,13,12.034,99.744
13,14,10.9577,36.864
13,15,24.9309,119.113
13,16,9.6129,2.77517
13,17,5.1233,106.764
13,18,19.2177,65.4279
13,19,13.8302,28.3125
13,20,24.0145,130.353
13,21,7.30958,44.6974
13,22,9.50614,118.426
13,23,4.71043,1.74837
14,0,25.4789,68.7443
14,1,13.0116,106.797
14,2,7.42136,147.39
14,3,22.2557,103.109
14,4,6.17933,23.1685
14,5,15.9237,45.6972
14,6,20.6652,119.969
14,7,3.45522,11.1775
14,8,2.07385,38.6729
14,9,25.1499,55.9585
14,10,25.5369,43.7067
14,11,13.6545,116.914
14,12,13.5177,4.39094
14,13,4.7736,74.8904
