L(l),4,T,24

Period,Day Ahead Price
0,16.1396
1,4.54353
2,10.0295
3,14.4929
4,14.9223
5,12.1073
6,14.4274
7,14.1029
8,12.3273
9,11.9962
10,11.8629
11,14.0432
12,12.1301
13,11.6454
14,13.2828
15,12.4719
16,13.8627
17,13.8689
18,11.9798
19,13.6946
20,14.2979
21,13.7325
22,12.9157
23,12.2976

Scenario ID,Period,Real Time Price,Renewable Generation Output
0,0,15.3788,116.292
0,1,9.36106,106.936
0,2,15.3695,4.292
0,3,6.47485,41.0734
0,4,13.9022,54.732
0,5,24.1265,110.23
0,6,15.6803,106.353
0,7,1.59664,34.6823
0,8,23.3552,58.823
0,9,2.92063,54.1279
0,10,11.17,76.1135
0,11,12.4186,34.9357
0,12,16.135,112.89
0,13,18.0278,141.714
0,14,9.44275,7.30069
0,15,21.3167,60.9183
0,16,13.5012,58.9994
0,17,24.9726,100.791
0,18,3.2161,126.824
0,19,22.4057,51.9179
0,20,8.61787,141.08
0,21,6.36205,25.564
0,22,9.96226,110.324
0,23,4.30753,95.5606
1,0,15.3788,116.292
1,1,9.36106,106.936
1,2,15.3695,4.292
1,3,6.47485,41.0734
1,4,13.9022,54.732
1,5,24.1265,110.23
1,6,15.6803,106.353
1,7,21.8299,102.202
1,8,18.0511,89.9285
1,9,19.9141,83.5176
1,10,16.4669,127.195
1,11,14.5076,100.254
1,12,13.624,54.8026
1,13,8.39767,87.1769
1,14,5.72607,46.3253
1,15,23.5402,70.2784
1,16,17.4659,119.775
1,17,10.9572,133.321
1,18,2.04022,41.8142
1,19,10.9336,107.467
1,20,14.7023,47.1759
1,21,24.7648,15.9379
1,22,4.56165,101.103
1,23,25.2061,121.269
2,0,15.3788,116.292
2,1,9.36106,106.936
2,2,15.3695,4.292
2,3,6.47485,41.0734
2,4,13.9022,54.732
2,5,24.1265,110.23
2,6,15.6803,106.353
2,7,17.3989,69.2654
2,8,15.2587,27.7415
2,9,13.7649,34.469
2,10,0.111905,119.166
2,11,19.3486,132.891
2,12,8.88228,51.1417
2,13,11.3252,101.385
2,14,2.57701,90.6489
2,15,12.6809,28.8567
2,16,18.5783,33.2854
2,17,3.5709,70.2461
2,18,6.47734,37.4763
2,19,11.2845,62.6486
2,20,5.43462,11.8914
2,21,14.1237,142.175
2,22,18.0261,50.1033
2,23,12.095,82.5082
3,0,15.3788,116.292
3,1,9.36106,106.936
3,2,15.3695,4.292
3,3,6.47485,41.0734
3,4,13.9022,54.732
3,5,24.1265,110.23
3,6,1.63995,67.366
3,7,12.2874,130.384
3,8,21.3826,59.2684
3,9,23.1311,36.0316
3,10,20.3871,34.885
3,11,16.036,145.221
3,12,6.92966,140.649
3,13,19.8825,23.9805
3,14,13.5151,85.1751
3,15,10.5241,87.4633
3,16,11.9447,51.2046
3,17,18.8354,46.5557
3,18,6.32502,114.846
3,19,25.593,29.6526
3,20,5.75181,105.656
3,21,3.7136,17.9016
3,22,6.14557,80.7729
3,23,7.53274,42.6009
4,0,15.3788,116.292
4,1,9.36106,106.936
4,2,15.3695,4.292
4,3,6.47485,41.0734
4,4,13.9022,54.732
4,5,24.1265,110.23
4,6,1.63995,67.366
4,7,21.1495,126.937
4,8,17.7796,120.005
4,9,14.2638,78.1611
4,10,13.286,89.4902
4,11,14.3666,8.82394
4,12,25.9146,25.7612
4,13,15.2573,56.3623
4,14,7.26542,44.4337
4,15,15.7477,39.9437
4,16,2.44258,113.022
4,17,9.69256,139.28
4,18,6.00657,71.5192
4,19,7.69178,87.4397
4,20,1.01582,93.6528
4,21,3.86514,98.1515
4,22,2.28659,14.6582
4,23,2.31245,71.2796
5,0,15.3788,116.292
5,1,9.36106,106.936
5,2,15.3695,4.292
5,3,6.47485,41.0734
5,4,13.9022,54.732
5,5,24.1265,110.23
5,6,1.63995,67.366
5,7,14.6903,48.3889
5,8,14.4173,85.1485
5,9,22.857,90.5003
5,10,9.39452,67.9057
5,11,25.7004,71.888
5,12,14.4741,120.124
5,13,2.32536,124.257
5,14,24.3238,51.337
5,15,25.314,36.6258
5,16,7.55446,89.2059
5,17,4.84203,42.2239
5,18,7.91293,65.2242
5,19,4.50825,126.316
5,20,11.2695,117.666
5,21,18.5385,83.3542
5,22,8.31485,4.24929
5,23,6.61482,20.2163
6,0,15.3788,116.292
6,1,9.36106,106.936
6,2,15.3695,4.292
6,3,6.47485,41.0734
6,4,13.9022,54.732
6,5,24.1265,110.23
6,6,7.00585,53.4423
6,7,19.2853,11.8303
6,8,3.85248,81.606
6,9,17.6328,131.114
6,10,7.47847,72.6692
6,11,16.1456,113.675
6,12,15.6776,44.6351
6,13,0.926342,2.52873
6,14,15.5464,129.247
6,15,3.85596,14.6795
6,16,23.9732,60.7348
6,17,6.47018,12.0668
6,18,17.5573,4.35012
6,19,6.09918,100.306
6,20,21.2907,93.6192
6,21,6.85484,55.5243
6,22,22.3748,48.1119
6,23,25.0051,70.561
7,0,15.3788,116.292
7,1,9.36106,106.936
7,2,15.3695,4.292
7,3,6.47485,41.0734
7,4,13.9022,54.732
7,5,24.1265,110.23
7,6,7.00585,53.4423
7,7,2.14753,106.384
7,8,11.9097,102.857
7,9,18.228,111.983
7,10,9.76832,113.696
7,11,14.4995,30.1129
7,12,25.6347,40.7533
7,13,8.63498,143.507
7,14,9.75387,33.5606
7,15,4.40036,8.09132
7,16,1.43071,46.9883
7,17,20.1839,110.032
7,18,1.76003,98.2611
7,19,12.7579,117.212
7,20,2.25048,83.6199
7,21,22.6467,133.093
7,22,13.9874,117.001
7,23,18.3346,60.0008
8,0,15.3788,116.292
8,1,9.36106,106.936
8,2,15.3695,4.292
8,3,6.47485,41.0734
8,4,13.9022,54.732
8,5,24.1265,110.23
8,6,7.00585,53.4423
8,7,0.567237,82.732
8,8,20.2073,143.805
8,9,25.299,135.402
8,10,23.31,29.1122
8,11,10.5925,110.813
8,12,7.75488,81.637
8,13,0.968145,84.9978
8,14,20.3391,12.466
8,15,3.09979,28.8477
8,16,20.6412,67.3241
8,17,21.6948,74.0473
8,18,2.52704,56.4647
8,19,7.16313,95.4541
8,20,10.6402,70.1483
8,21,14.3992,128.727
8,22,5.90053,70.8359
8,23,5.37816,118.368
9,0,15.3788,116.292
9,1,9.36106,106.936
9,2,15.3695,4.292
9,3,6.47485,41.0734
9,4,13.9022,54.732
9,5,14.6628,128.023
9,6,9.05072,24.7366
9,7,0.347044,3.16945
9,8,19.3377,81.7003
9,9,20.6824,17.7747
9,10,24.7941,23.4937
9,11,17.9665,100.767
9,12,10.4767,31.8755
9,13,21.1019,134.147
9,14,18.1525,140.827
9,15,6.53348,70.7958
9,16,25.2353,144.165
9,17,19.2111,1.00929
9,18,8.15966,99.0922
9,19,17.7333,108.134
9,20,17.3437,70.5192
9,21,10.1742,0.454997
9,22,22.4995,81.5727
9,23,22.5056,71.2186
10,0,15.3788,116.292
10,1,9.36106,106.936
10,2,15.3695,4.292
10,3,6.47485,41.0734
10,4,13.9022,54.732
10,5,14.6628,128.023
10,6,9.05072,24.7366
10,7,9.95991,122.359
10,8,13.1264,143.794
10,9,12.2513,149.324
10,10,24.6593,53.639
10,11,9.91215,1.29873
10,12,11.6711,43.6495
10,13,10.9249,23.4818
10,14,8.67227,47.117
10,15,0.627247,125.444
10,16,14.7887,14.2526
10,17,6.75867,58.6704
10,18,19.0182,104.992
10,19,14.967,13.2619
10,20,7.44962,104.35
10,21,13.3462,140.365
10,22,10.0187,13.7077
10,23,23.8983,55.6463
11,0,15.3788,116.292
11,1,9.36106,106.936
11,2,15.3695,4.292
11,3,6.47485,41.0734
11,4,13.9022,54.732
11,5,14.6628,128.023
11,6,9.05072,24.7366
11,7,1.74865,12.8227
11,8,19.1707,96.2564
11,9,16.8435,146.807
11,10,0.603382,34.3485
11,11,15.6256,34.6445
11,12,11.9088,133.748
11,13,11.0272,68.5105
11,14,18.1674,129.815
11,15,10.0065,20.2052
11,16,14.878,53.6645
11,17,17.0708,102.546
11,18,6.37206,69.3533
11,19,7.07765,146.624
11,20,15.7727,57.0886
11,21,17.134,110.92
11,22,24.5969,123.786
11,23,18.9843,27.9884
12,0,15.3788,116.292
12,1,9.36106,106.936
12,2,15.3695,4.292
12,3,6.47485,41.0734
12,4,13.9022,54.732
12,5,14.6628,128.023
12,6,10.6523,30.8764
12,7,6.91475,50.4811
12,8,7.63702,14.4577
12,9,20.4968,61.0741
12,10,15.1696,4.04814
12,11,22.5327,74.3681
12,12,11.7021,27.8681
12,13,9.25785,148.419
12,14,15.3888,138.964
12,15,14.6961,36.9195
12,16,11.4835,104.082
12,17,4.52565,40.1082
12,18,16.8934,39.4391
12,19,22.0605,100.481
12,20,18.6623,112.983
12,21,24.204,83.2907
12,22,17.1537,69.4189
12,23,22.4001,74.6975
13,0,15.3788,116.292
13,1,9.36106,106.936
13,2,15.3695,4.292
13,3,6.47485,41.0734
13,4,13.9022,54.732
13,5,14.6628,128.023
13,6,10.6523,30.8764
13,7,20.0932,131.963
13,8,7.40334,25.1343
13,9,5.08913,63.5258
13,10,24.0646,141.272
13,11,9.59571,35.7586
13,12,1.17608,105.056
13,13,12.7615,22.7312
13,14,5.06275,83.9364
13,15,19.492,148.953
13,16,14.0927,16.0234
13,17,20.7388,62.3397
13,18,14.9177,105.019
13,19,1.22959,1.99009
13,20,6.81224,112.668
13,21,20.6798,144.955
13,22,7.40468,133.03
13,23,7.3402,37.2686
14,0,15.3788,116.292
14,1,9.36106,106.936
14,2,15.3695,4.292
14,3,6.47485,41.0734
14,4,13.9022,54.732
14,5,14.6628,128.023
14,6,10.6523,30.8764
14,7,20.3454,107.072
14,8,14.3548,102.056
14,9,24.9486,77.0702
14,10,9.06891,15.6565
14,11,13.0689,131.627
14,12,1.10064,144.107
14,13,3.30146,118.586
14,14,13.6657,129.844
